locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T11:45:00+00:00,2021-02-09T17:15:00+05:30,pm25,36,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T11:45:00+00:00,2021-02-09T17:15:00+05:30,co,1100,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T11:45:00+00:00,2021-02-09T17:15:00+05:30,o3,16.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T11:45:00+00:00,2021-02-09T17:15:00+05:30,no2,82.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,co,900,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,pm25,57,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,o3,61.2,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,no2,44.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,pm10,160,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T10:00:00+00:00,2021-02-09T15:30:00+05:30,so2,22.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,no2,52.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,pm10,160,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,pm25,57,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,o3,59.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,so2,22.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:45:00+00:00,2021-02-09T15:15:00+05:30,co,900,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,pm25,86,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,o3,73.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,co,800,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,pm10,174,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,so2,18,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-09T09:00:00+00:00,2021-02-09T14:30:00+05:30,no2,42.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,so2,21.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,pm25,174,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,no2,106.5,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,o3,5.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,pm10,353,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T15:30:00+00:00,2021-02-08T21:00:00+05:30,co,3500,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,co,2600,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,pm25,141,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,so2,20.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,pm10,273,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,no2,100.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:30:00+00:00,2021-02-08T20:00:00+05:30,o3,3.7,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,co,2200,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,pm10,271,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,so2,20,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,pm25,118,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,no2,97.9,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T14:00:00+00:00,2021-02-08T19:30:00+05:30,o3,6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T13:15:00+00:00,2021-02-08T18:45:00+05:30,o3,6.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T13:15:00+00:00,2021-02-08T18:45:00+05:30,pm10,271,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T13:15:00+00:00,2021-02-08T18:45:00+05:30,so2,22.6,µg/m³,28.530785,77.271255
