day,ShaheenBagh,DTC_bus_terminal,Nangli_Dairy,Jharoda_Kalan,Sanjay_Colony_2,Tekhand2
10,0,869,1718,1618,0,923
11,0,1764,1783,1764,0,673
12,0,1769,1708,366,0,967
13,0,1480,1521,1638,0,717
14,0,0,1658,1771,0,535
15,0,0,1479,1772,0,951
16,0,0,1336,1551,0,1322
17,0,0,659,1729,0,1190
18,0,0,0,1649,0,875
19,0,0,1371,1766,782,1251
20,0,0,1076,1774,1314,410
21,0,0,1700,1696,10,1100
22,0,0,1441,1767,934,638
23,0,604,168,1603,1768,817
