pm1_0,pm2_5,pm10,temp,humid,date,location,timestamp
50,74,83,29.35,62.28,10-10-2021,DTC_bus_terminal,"2021-10-10T08:32:10+05:30"
49,74,84,29.35,61.95,10-10-2021,DTC_bus_terminal,"2021-10-10T08:32:41+05:30"
