From Date,To Date,pm2_5,pm10,NO,NO2,NOx
01-10-2021 10:30,01-10-2021 10:45,36,72,4.5,21.8,26.3
01-10-2021 10:45,01-10-2021 11:00,36,72,4.8,16.5,21.3
01-10-2021 11:00,01-10-2021 11:15,25,48,2.9,16.4,19.3
01-10-2021 11:15,01-10-2021 11:30,25,48,4.3,18.4,22.7
01-10-2021 11:30,01-10-2021 11:45,25,48,4.2,15,19.2
01-10-2021 11:45,01-10-2021 12:00,25,48,9,28.2,37.3
01-10-2021 12:00,01-10-2021 12:15,23,44,6.2,22.9,29.2
01-10-2021 12:15,01-10-2021 12:30,23,44,8.2,28.7,36.8
01-10-2021 12:30,01-10-2021 12:45,23,44,5.8,24.8,30.6
01-10-2021 12:45,01-10-2021 13:00,23,44,6.2,24.8,31
01-10-2021 13:00,01-10-2021 13:15,19,42,4.9,14.2,19
01-10-2021 13:15,01-10-2021 13:30,19,42,9.1,38.5,47.6
01-10-2021 13:30,01-10-2021 13:45,19,42,5.3,24.4,29.7
01-10-2021 13:45,01-10-2021 14:00,19,42,3.6,14.5,18.1
01-10-2021 14:00,01-10-2021 14:15,30,58,2.5,11.1,13.6
01-10-2021 14:15,01-10-2021 14:30,30,58,5,9.4,14.4
01-10-2021 14:30,01-10-2021 14:45,30,58,5.2,10.1,15.3
01-10-2021 14:45,01-10-2021 15:00,30,58,5,8.1,13.1
01-10-2021 15:00,01-10-2021 15:15,39,62,3.2,8.4,11.6
01-10-2021 15:15,01-10-2021 15:30,39,62,5.3,13.9,19.3
01-10-2021 15:30,01-10-2021 15:45,39,62,2.7,12.6,15.3
